date,open,high,low,close,volume
1513296900000,0.85002,0.85769,0.8,0.83325,642946.50467414
1513297800000,0.83325,0.87,0.80005,0.83178,440320.42375195
1513298700000,0.83,0.83065,0.78,0.78,551020.63494717
1513299600000,0.78363,0.79,0.769,0.78999,723175.96159181
1513300500000,0.78999,0.795,0.78488,0.79004,284147.94420991
1513301400000,0.79004,0.795,0.7,0.7,763030.05724149
1513302300000,0.73735,0.749,0.681,0.7,341224.01427692
1513303200000,0.72,0.74,0.7,0.7298,459098.92513378
1513304100000,0.73267,0.76,0.73,0.732,400105.61052275
1513305000000,0.73001,0.73001,0.622,0.63,1062174.81444503
1513305900000,0.63,0.68,0.6,0.65057,956486.81975399
1513306800000,0.65057,0.78,0.65057,0.73,598264.54043756
1513307700000,0.73,0.785,0.72,0.7647,688717.93464032
1513308600000,0.76403,0.78,0.73282,0.734,340947.91728367
1513309500000,0.734,0.74988,0.73,0.7349,234826.68092135
1513310400000,0.7349,0.752,0.73301,0.74,184208.22484789
1513311300000,0.74182,0.76267,0.7352,0.74212,271684.40207297
1513312200000,0.74538,0.75,0.74212,0.749,145959.5577304
1513313100000,0.74899,0.7599,0.7489,0.75,157577.53000474
1513314000000,0.75,0.7549,0.74,0.74076,219349.0867927
1513314900000,0.74006,0.74029,0.72,0.72,308689.97595985
1513315800000,0.72,0.72999,0.71,0.72997,162179.66258423
1513316700000,0.72641,0.74,0.72543,0.73151,168629.66961305
1513317600000,0.72887,0.74,0.72543,0.7399,184861.3549152
1513318500000,0.73858,0.785,0.73101,0.75399,252426.58449018
1513319400000,0.785,0.79998,0.75399,0.79998,440211.42538315
1513320300000,0.79299,0.82,0.79,0.82,349507.52900596
1513321200000,0.82136,0.83,0.8009,0.80999,398208.87341563
1513322100000,0.80999,0.825,0.8,0.80999,202584.56394571
1513323000000,0.80999,0.82,0.80253,0.81013,120769.30695301
1513323900000,0.81001,0.81011,0.79501,0.81,136862.70684599
1513324800000,0.8027,0.80339,0.7901,0.79808,150090.17164079
1513325700000,0.797,0.8399,0.7901,0.82,198088.53659758
1513326600000,0.81838,0.81838,0.7901,0.79948,118742.977742
1513327500000,0.79942,0.79943,0.78,0.78,172207.69956186
1513328400000,0.78001,0.78002,0.77,0.77,120950.58133454
1513329300000,0.77,0.77039,0.76,0.76898,333481.0698867
1513330200000,0.76219,0.79,0.7501,0.79,131924.39875882
1513331100000,0.75501,0.8,0.755,0.75501,232513.64608491
1513332000000,0.75501,0.83989,0.75,0.75,263939.91385548
1513332900000,0.75,0.765,0.73,0.73,384131.1918553
1513333800000,0.72,0.7239,0.7015,0.71337,187458.49541087
1513334700000,0.71337,0.73784,0.7123,0.7378,58155.56932844
1513335600000,0.72748,0.75366,0.72337,0.73893,99569.83091807
1513336500000,0.73893,0.76,0.73893,0.75998,83811.3466707
1513337400000,0.75363,0.75999,0.74102,0.754,48400.98902977
1513338300000,0.75139,0.754,0.7255,0.74997,153133.98779142
1513339200000,0.74996,0.74997,0.74,0.74,92507.11386801
1513340100000,0.74,0.7477,0.7255,0.73,141078.41648877
1513341000000,0.73,0.74,0.73,0.74,174902.01553996
1513341900000,0.74,0.76,0.74,0.76,121657.25964747
1513342800000,0.76,0.7979,0.75448,0.773,158486.08664819
1513343700000,0.77935,0.77935,0.75002,0.7739,65141.41229779
1513344600000,0.7738,0.799,0.755,0.77776,182962.47550765
1513345500000,0.77,0.77,0.75,0.75001,103666.24947422
1513346400000,0.75574,0.76997,0.75,0.76996,190165.35906177
1513347300000,0.765,0.765,0.75006,0.75999,102499.48212247
1513348200000,0.76032,0.765,0.76032,0.765,58437.49754075
1513349100000,0.765,0.79,0.76443,0.79,331609.18289114
1513350000000,0.79,0.819,0.7801,0.79,345738.11800888
1513350900000,0.79,0.79,0.765,0.785,238990.62626227
1513351800000,0.785,0.785,0.76446,0.784,96058.21404197
1513352700000,0.784,0.79664,0.77134,0.79,155091.56718986
1513353600000,0.79769,0.80372,0.79406,0.795,44787.05883965
1513354500000,0.8,0.8,0.77983,0.79487,73931.53113624
1513355400000,0.795,0.79779,0.7898,0.792,107089.65701388
1513356300000,0.792,0.8,0.785,0.785,191143.83770768
1513357200000,0.79002,0.795,0.75,0.7848,354869.95858983
1513358100000,0.78516,0.79,0.76516,0.78998,144676.1633459
1513359000000,0.7899,0.79,0.77509,0.78457,120976.2539709
1513359900000,0.7837,0.7837,0.775,0.78188,67127.66812204
1513360800000,0.78188,0.782,0.751,0.76999,287291.11599106
1513361700000,0.76999,0.77,0.7592,0.76987,147516.17132701
1513362600000,0.76854,0.77,0.768,0.76995,46473.55056558
1513363500000,0.768,0.76992,0.75,0.75635,104862.4282001
1513364400000,0.75986,0.75999,0.74,0.74,153119.82393458
1513365300000,0.74999,0.74999,0.74001,0.7485,49193.55349263
1513366200000,0.74848,0.768,0.748,0.768,220177.96390788
1513367100000,0.769,0.77,0.75003,0.75003,188976.69768412
1513368000000,0.7638,0.77,0.748,0.76076,178712.86950403
1513368900000,0.76076,0.77,0.76,0.76788,83232.40564484
1513369800000,0.76598,0.7695,0.75772,0.7695,97983.54444956
1513370700000,0.76939,0.78,0.75812,0.77002,207750.94476935
1513371600000,0.7799,0.784,0.774,0.78,153529.63008757
1513372500000,0.78,0.78187,0.765,0.78,90605.51928167
1513373400000,0.78174,0.7849,0.76504,0.77251,107895.25292382
1513374300000,0.77251,0.776,0.765,0.76662,97443.04446834
1513375200000,0.76662,0.77,0.758,0.76,82382.60190838
1513376100000,0.76,0.76566,0.7503,0.75031,65184.97791393
1513377000000,0.75031,0.769,0.7503,0.7531,61440.30029976
1513377900000,0.75265,0.75298,0.75,0.75,95117.43163272
1513378800000,0.75,0.765,0.745,0.76489,153779.09609641
1513379700000,0.76489,0.76489,0.76489,0.76489,0.0
1513380600000,0.76489,0.76489,0.76489,0.76489,0.0
1513381500000,0.76489,0.76493,0.745,0.74898,19779.17291807
1513382400000,0.74898,0.76,0.74889,0.75977,178080.6288989
1513383300000,0.75977,0.76699,0.75011,0.76689,151588.47891282
1513384200000,0.76699,0.775,0.74,0.7748,227838.44715854
1513385100000,0.7748,0.7774,0.7573,0.76699,116284.27668267
1513386000000,0.767,0.7799,0.767,0.77894,105399.93185678
1513386900000,0.77888,0.779,0.77004,0.771,67252.70828767
1513387800000,0.77877,0.7799,0.7684,0.77,118787.80732498
